sigEZlYCCX;eXqXSVHqJ9;mGieSjllCu;YL9MuJVmip;HpPMplBVBw;T8T3LVT2J1
d 0  lAE4 Bu Or ;Y QSuK;12;52;-7;5.97
1;t2uU DVES1 orv  ;68;99;10;-1.36
4eYNc 3dd SA  VcBh5;crFSx;89;58;-26;0.33
sBV x 6;T8G  lPz P;51;-29;-44;-2.89
gtZniq8N5GjJ ;5G9;94;75;-26;-5.7
rE1ao oNTu iV5zzyjAn;tVPssr0 k  8;91;-99;90;3.26
2HqF0o;hmgmNChIGAXLuoGpkS;-99;-93;-12;-3.19
 wW  R 9aIktetx ;UY Vb s8KEhBsrBOAl9;91;74;-76;-6.1
 3a ;BW TCF08E bJR;-92;-100;-32;3.6
Ab2WyL90W E 9VkJ  gb;sm;65;8;99;-1.67
IV0G8v ;zdB 8J5syIL;60;56;19;-6.06
8M2XlvCU; dZizdI n;-33;-62;-18;-1.63
OD C zOZL Mar 6;i DP2ZL3m5J aT mi g;25;-6;-97;8.79
1de;qqJHE8 M5Co jx G;14;-30;-32;5.57
26  ;x6J EfA kmfdjWE;42;87;-45;7.02
y HSat  SL MPIHZPa;StGnzSOGB1g7 ;-29;-65;53;-4.52
  WJ;N;-87;84;-72;4.18
p jb4HaFkGqKcsnm;65HAok6Wgjbr 0H;49;19;-89;1.92
BBPzsLqg hUY bNQt;y   ;-48;78;58;-7.4
tc;0T nPUrp;50;47;9;-9.08
jy2pYiZG;GASNf N  10  S;39;-46;80;5.53
OQ zH8e wWxA ; PuH rsMv plteA;63;-23;93;8.31
 99Z01 ;U2Xk BuI5Csxh  4 ;76;-82;-53;-6.3
ki71WbvVbO9 Fkl u;MZ6uK2sl;98;-84;21;5.49
TdYDq2Cb z KpjZ ;tOC7 c9VrKWKb 6;6;58;-41;7.34
7;naUQ pz KuwaNnDjMv2r;43;63;64;-5.67
GtDB;zSy8F5qC 4Un;7;-54;-41;2.2
GMzIM  wys LB8;Ht oJB5Q7G1DW;-18;-88;-65;0.36
n up3 Lk;t Ll N1 ;-57;-48;59;-9.3
MO ;uN;-19;-46;89;4.18
 J  bPqhqX;  s e1 zA6 I JDIY;-66;79;-34;-6.39
 x OMzH Gx;4DXsXRxK v P BNVWZ;0;31;-33;-2.74
xP;g FBmdm X;47;-64;-12;8.2
evKMPyx    E FD1 v;cN1oyitEpnJ04Cl ;90;77;-31;4.12
Oh  T 3; I DPmo 8V;80;61;14;5.76
1 2je6b  pnPWcxr ;2odBfW  8vGNgk eL ;61;-19;45;0.89
Y;8Bub;53;4;-77;9.29
u7 HuKDk;D56K6SbfI;-98;51;30;-3.54
u46kBUn;CMB AUVT 60hQ;82;-56;97;3.65
 9dJA464ORhG y1;LKq  HU4YhYozd3;-11;34;-66;-8.93
vUe s5WT;n I gY;99;-10;-64;6.17
  eYu;EVco x iE tV rta K 7;-53;-88;71;6.07
isNs7 J8TW8Tc;Y GhBWqbXQa;-69;79;11;-5.74
s47lXcfEeOW;PiO39;-23;44;79;5.76
N0h4LNnOcHGYp;G1w4BHu Ogrni;34;0;63;3.32
N0h4LNnOcHGYp;G1w4BHu Ogrni;34; 0;63;3.32
N0h4LNnOcHGYp;G1w4BHu Ogrni;34;0 ;63;3.32
N0h4LNnOcHGYp;G1w4BHu Ogrni;34; 0 ;63;3.32
N0h4LNnOcHGYp;G1w4BHu Ogrni;34; 0 ;63;3.32
N0h4LNnOcHGYp;G1w4BHu Ogrni;34; 32 0;63;3.32
fLDYxA;  Wp q Z6;-85;22;28;-8.09
VPY4gP8N k D QRvbr I;P g15yMrx;-27;-47;-57;3.34
7GlFi G HIKmf LYx9;XHQD4xBHSKZ6  pyy9h;-71;27;-30;-6.91
0pVhalQ;  bccB rbIHz;14;-10;-71;-8.59
3u5cSX5oK22OeeM;FGtObx ;-65;-47;60;1.23
VoChrv no 9r;YFH3 l kUWip;-75;49;44;2.35
p Y0jeLUmLqsTPcs ; 6j iG2f;-84;-23;-64;7.64
F wM0PYzJL HN;p  oc R Utp9 RTD vMu;56;63;32;0.09
 afqWPD ;ZvNKypKb;76;33;-57;-4.89
4k0ra  S  vk64D    ;  ;-55;92;31;-3.02
